videos subidos,titulo,direccion,publicado
140,De Constantinopla a Estambul. La gran capital de principios del siglo XX. Aitor Fernández,https://www.youtube.com/watch?v=ZmWvYjDoa3w,2020-06-17 11:48:25
141,"Jacopo Pontormo y su ""Descendimiento de la Cruz"". Maravilla del Arte. José Alipio Morejón",https://www.youtube.com/watch?v=n2yorHSGs-k,2020-06-29 16:43:46
142,"Jacopo Pontormo y su ""Descendimiento de la Cruz"". Maravilla del Arte. José Alipio Morejón",https://www.youtube.com/watch?v=n2yorHSGs-k,2020-06-29 16:43:46
143,"Antonio López: reflexiones. El dibujo, la pintura figurativa, Hopper, la maravilla de la pintura...",https://www.youtube.com/watch?v=AEkGwv0mISA,2020-07-02 14:41:27
144,"Antonio López: reflexiones. El dibujo, la pintura figurativa, Hopper, la maravilla de la pintura...",https://www.youtube.com/watch?v=AEkGwv0mISA,2020-07-02 14:41:27
145,Antonio López: reflexiones. La admirable figuración contemporánea...,https://www.youtube.com/watch?v=bkZL75t9lUs,2020-07-02 14:47:17
146,Antonio López: reflexiones. La admirable figuración contemporánea...,https://www.youtube.com/watch?v=bkZL75t9lUs,2020-07-02 14:47:17
147,"Antonio López: reflexiones. La pintura figurativa, el discurso sobre ella, Francis Bacon...",https://www.youtube.com/watch?v=kSl84aw7iYs,2020-07-13 10:01:22
148,"Antonio López: reflexiones. La pintura figurativa, el discurso sobre ella, Francis Bacon...",https://www.youtube.com/watch?v=kSl84aw7iYs,2020-07-13 10:01:22
149,"Antonio López: reflexiones. Delibes, Umberto Eco, Ferlosio...",https://www.youtube.com/watch?v=V1bqQcrnAUE,2020-07-13 10:06:17
150,"Antonio López: reflexiones. Delibes, Umberto Eco, Ferlosio...",https://www.youtube.com/watch?v=V1bqQcrnAUE,2020-07-13 10:06:17
151,"Antonio López: reflexiones. Arte y modernidad, misterio y realidad, la ciudad como tema...",https://www.youtube.com/watch?v=eP1NzZNXKQ0,2020-07-15 10:17:16
152,"Antonio López: reflexiones. Arte y modernidad, misterio y realidad, la ciudad como tema...",https://www.youtube.com/watch?v=eP1NzZNXKQ0,2020-07-15 10:17:16
153,"Antonio López reflexiona sobre la vida y el dolor, el amor hacia el arte, Giacometti, Greta Garbo...",https://www.youtube.com/watch?v=plh0J6wr100,2020-07-15 15:00:11
154,"Antonio López trata de la libertad del artista, los encargos, el Juicio Final de Miguel Angel...",https://www.youtube.com/watch?v=YV81Ur_jols,2020-07-15 15:00:11
155,"Antonio López reflexiona sobre la vida y el dolor, el amor hacia el arte, Giacometti, Greta Garbo...",https://www.youtube.com/watch?v=plh0J6wr100,2020-07-15 15:00:11
156,"Antonio López trata de la libertad del artista, los encargos, el Juicio Final de Miguel Angel...",https://www.youtube.com/watch?v=YV81Ur_jols,2020-07-15 15:00:11
157,"El Golfo Pérsico, historia, trascendencia y actualidad. Jaime Aznar",https://www.youtube.com/watch?v=t01ebzCJ_1s,2020-08-26 13:38:14
158,"El Golfo Pérsico, historia, trascendencia y actualidad. Jaime Aznar",https://www.youtube.com/watch?v=t01ebzCJ_1s,2020-08-26 13:38:14
159,"Túnez. Historia, cultura y actualidad de un país fascinante y desconocido. José Alipio Morejón",https://www.youtube.com/watch?v=SUBvBIpH0Pk,2020-08-31 16:43:20
160,"El pintor Melozzo da Forlí, genio del Renacimiento. José Alipio Morejón",https://www.youtube.com/watch?v=luPME694Lf0,2020-09-07 06:00:25
161,"El cine y las historias: La vida es bella, Los chicos del coro y Solo en casa. Luigi Vasallo",https://www.youtube.com/watch?v=WZlYPVDvEYU,2020-09-09 09:51:35
162,Antonio López reflexiona sobre el arte abstracto,https://www.youtube.com/watch?v=FusCzK4Aivg,2020-09-16 09:00:11
163,Antonio López habla de su retrato de la Familia real española,https://www.youtube.com/watch?v=aRlA5KFW1GQ,2020-09-17 08:00:10
164,La Misión. Introducción y homenaje a Ennio Morricone. José Alipio Morejón,https://www.youtube.com/watch?v=sQjd5GUIL0s,2020-09-19 18:15:12
165,"Jordania. Aproximación a su historia, arte, naturaleza y actualidad. Khaleed Hammouri",https://www.youtube.com/watch?v=ke-gbba29WA,2020-09-28 08:59:15
166,"La Misión. Introducción, escena del perdón y homenaje a Ennio Morricone. José Alipio Morejón",https://www.youtube.com/watch?v=Ky-RTXBAY0I,2020-09-28 11:28:52
167,Antonio López: entre la Mancha y Madrid. Reflexiones del genial pintor y escultor,https://www.youtube.com/watch?v=x3R2gVeRz7Y,2020-10-07 17:00:09
168,Antonio López nos habla de El sol del membrillo y Víctor Erice,https://www.youtube.com/watch?v=6tjG11wu2G0,2020-10-08 08:52:48
169,Antonio López: reflexiones. Hermosura y luz en la creación de María Moreno y Francisco López,https://www.youtube.com/watch?v=rl4qDFwmlpk,2020-10-08 17:00:10
170,"Europa, seguridad y defensa. Entrevista con Miguel Ballenilla, Coronel y Doctor en Historia",https://www.youtube.com/watch?v=W3dguSXI8V8,2020-10-16 15:35:22
171,Germania conquistada por Roma. Eva Tobalina,https://www.youtube.com/watch?v=eUm5dYFcgJg,2020-10-16 17:00:10
172,Historia de Albania. La incorporación al Imperio Romano. Eva Tobalina,https://www.youtube.com/watch?v=2T7Z57vk1s8,2020-10-17 17:00:25
173,El Greco. Vida y obra de uno de los artistas más geniales de la historia. Javier Vélez Chaurri,https://www.youtube.com/watch?v=nP_2R6BcsaA,2020-10-26 18:00:09
174,Jasón y los Argonautas. La increíble búsqueda del Vellocino de Oro. Eva Tobalina,https://www.youtube.com/watch?v=oeFhpp1yTAg,2020-10-29 18:00:11
175,El Coliseo de Roma: su apasionante historia y creación. Eva Tobalina,https://www.youtube.com/watch?v=QLFbXtPQCUE,2020-11-01 18:00:10
176,Sócrates y la ciudadanía griega. Mirando a los clásicos. Guillermo Navarro,https://www.youtube.com/watch?v=rgCc3U5xI9w,2020-11-05 16:00:10
177,Platón y la polis justa. Inspirándonos en los clásicos. Guillermo Navarro,https://www.youtube.com/watch?v=F-jNpZfn740,2020-11-07 19:00:10
178,"Homero, el cantor ciego. Historia, leyenda y literatura. Eva Tobalina",https://www.youtube.com/watch?v=9WRZiFdueE8,2020-11-10 16:00:15
179,"Aristóteles. Principios fundamentales para el conocimiento, diálogo y progreso. Guillermo Navarro",https://www.youtube.com/watch?v=XJu9R81kY7U,2020-11-12 16:00:11
